Grapheme	IPA	IPAInSource
q	q	q
a	a	a
b	b	b
=	ɨ	ɨ
k	k	k
u	u	u
p	p	p
%	ɔ	ɔ
i	i	i
o	o	o
G	ɢ	G
V	aː	ā
x	x	x
\	ə	ə
v	v	v
r	r	r
n	n	n
e	e	e
m	m	m
d	d	d
Q	y	ü
S	δ/ð	δ
j	j	j
z	z	z
P	œ	ö
^	ə	ɘ
K	yː	ǖ
H	ʃ	š
s	s	s
t	t	t
@	iː	ī
c	c/ts	c
&	ɛ	ɛ
W	eː	ē
g	g	g
M	æ	ä
X	æː	ǟ
*	ɣ	ɣ
A	ś/ʃ	ś
~	č/tʃ	č
Z	ǯ/dʒ	ǯ
J	ʒ	ž
U	ŋ	ŋ
E	χ	χ
l	l	l
1	ɘu̯	ɘʷ
F	uː	ū
w	w	w
T	oː	ō
h	h	h
5	ẹ/ə	ẹ
7	ụ/u	ụ
6	ọ/o	ọ
2	əu̯	əʷ
8	ď/ð	ď
f	f	f
$	ɨː	ɨ̄
9	ń/ŋ	ń
!	œː	ȫ
C	ź/ʒ	ź
D	uː	ǚ
4	ŭ/u	ŭ
G	ɢ	ɢ
