ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
ALT-word-2-1-1,ALT-word-2-1,b Q t,2,false,expert,,b y t,,
ALT-word-3-1-1,ALT-word-3-1,k Q l,3,false,expert,,k y l,,
ALT-word-4-1-1,ALT-word-4-1,q a b = q,4,false,expert,,q a b ɨ q,,
ALT-word-5-1-1,ALT-word-5-1,q a r = n,5,false,expert,,q a r ɨ n,,
ALT-word-6-1-1,ALT-word-6-1,b i j i k,6,false,expert,,b i j i k,,
ALT-word-7-1-1,ALT-word-7-1,q u H,7,false,expert,,q u ʃ,,
ALT-word-9-1-1,ALT-word-9-1,d i H,9,false,expert,,d i ʃ,,
ALT-word-10-1-1,ALT-word-10-1,q a r a,10,false,expert,,q a r a,,
ALT-word-11-1-1,ALT-word-11-1,q a n,11,false,expert,,q a n,,
ALT-word-12-1-1,ALT-word-12-1,k W m i k,12,false,expert,,k eː m i k,,
ALT-word-15-1-1,ALT-word-15-1,t = r - G - a q,15,false,expert,,t ɨ r - ɢ - a q,,
ALT-word-16-1-1,ALT-word-16-1,b u l u t,16,false,expert,,b u l u t,,
ALT-word-17-1-1,ALT-word-17-1,s T - - q,17,false,expert,,s oː - - q,,
ALT-word-18-1-1,ALT-word-18-1,k e l,18,false,expert,,k e l,,
ALT-word-19-1-1,ALT-word-19-1,- - - P l,19,false,expert,,- - - œ l,,
ALT-word-20-1-1,ALT-word-20-1,k P b - P - - k,20,false,expert,,k œ b - œ - - k,,
ALT-word-21-1-1,ALT-word-21-1,i ~,21,false,expert,,i č/tʃ,,
ALT-word-22-1-1,ALT-word-22-1,q u r - - - - u -,22,false,expert,,q u r - - - - u -,,
ALT-word-23-1-1,ALT-word-23-1,q u l - a q,23,false,expert,,q u l - a q,,
ALT-word-24-1-1,ALT-word-24-1,8 e r,24,false,expert,,ď/ð e r,,
ALT-word-25-1-1,ALT-word-25-1,t o b - r a q,25,false,expert,,t o b - r a q,,
ALT-word-26-1-1,ALT-word-26-1,8 e - - -,26,false,expert,,ď/ð e - - -,,
ALT-word-27-1-1,ALT-word-27-1,8 = m = r t - q a,27,false,expert,,ď/ð ɨ m ɨ r t - q a,,
ALT-word-28-1-1,ALT-word-28-1,k P s - - - -,28,false,expert,,k œ s - - - -,,
ALT-word-29-1-1,ALT-word-29-1,8 F - - -,29,false,expert,,ď/ð uː - - -,,
ALT-word-30-1-1,ALT-word-30-1,t Q k,30,false,expert,,t y k,,
ALT-word-31-1-1,ALT-word-31-1,b a l = q,31,false,expert,,b a l ɨ q,,
ALT-word-32-1-1,ALT-word-32-1,- u ~ - - -,32,false,expert,,- u č/tʃ - - -,,
ALT-word-33-1-1,ALT-word-33-1,- a 8 a q,33,false,expert,,- a ď/ð a q,,
ALT-word-34-1-1,ALT-word-34-1,t o - l o -,34,false,expert,,t o - l o -,,
ALT-word-35-1-1,ALT-word-35-1,b - e r,35,false,expert,,b - e r,,
ALT-word-37-1-1,ALT-word-37-1,8 a - J = l,37,false,expert,,ď/ð a - ʒ ɨ l,,
ALT-word-38-1-1,ALT-word-38-1,q = l - -,38,false,expert,,q ɨ l - -,,
ALT-word-40-1-1,ALT-word-40-1,b a H,40,false,expert,,b a ʃ,,
ALT-word-42-1-1,ALT-word-42-1,8 Q r e k,42,false,expert,,ď/ð y r e k,,
ALT-word-43-1-1,ALT-word-43-1,m K - - - - - - s,43,false,expert,,m yː - - - - - - s,,
ALT-word-44-1-1,ALT-word-44-1,m e n,44,false,expert,,m e n,,
ALT-word-45-1-1,ALT-word-45-1,t i z - e -,45,false,expert,,t i z - e -,,
ALT-word-46-1-1,ALT-word-46-1,b i l,46,false,expert,,b i l,,
ALT-word-47-1-1,ALT-word-47-1,8 a l b = r - - a q,47,false,expert,,ď/ð a l b ɨ r - - a q,,
ALT-word-48-1-1,ALT-word-48-1,8 a - t,48,false,expert,,ď/ð a - t,,
ALT-word-50-1-1,ALT-word-50-1,b - - i - j t,50,false,expert,,b - - i - j t,,
ALT-word-51-1-1,ALT-word-51-1,- e r k e k,51,false,expert,,- e r k e k,,
ALT-word-52-1-1,ALT-word-52-1,~ o q - -,52,false,expert,,č/tʃ o q - -,,
ALT-word-53-1-1,ALT-word-53-1,e - - t -,53,false,expert,,e - - t -,,
ALT-word-54-1-1,ALT-word-54-1,- j a -,54,false,expert,,- j a -,,
ALT-word-55-1-1,ALT-word-55-1,t - F - -,55,false,expert,,t - uː - -,,
ALT-word-56-1-1,ALT-word-56-1,- T - - s -,56,false,expert,,- oː - - s -,,
ALT-word-57-1-1,ALT-word-57-1,- a t,57,false,expert,,- a t,,
ALT-word-58-1-1,ALT-word-58-1,m - o j u n -,58,false,expert,,m - o j u n -,,
ALT-word-59-1-1,ALT-word-59-1,8 a U - =,59,false,expert,,ď/ð a ŋ - ɨ,,
ALT-word-60-1-1,ALT-word-60-1,k - e ~ - -,60,false,expert,,k - e č/tʃ - -,,
ALT-word-61-1-1,ALT-word-61-1,b u r u n,61,false,expert,,b u r u n,,
ALT-word-62-1-1,ALT-word-62-1,m a,62,false,expert,,m a,,
ALT-word-63-1-1,ALT-word-63-1,b i r,63,false,expert,,b i r,,
ALT-word-64-1-1,ALT-word-64-1,k i J i,64,false,expert,,k i ʒ i,,
ALT-word-65-1-1,ALT-word-65-1,j V - - - -,65,false,expert,,j aː - - - -,,
ALT-word-66-1-1,ALT-word-66-1,q = z = l,66,false,expert,,q ɨ z ɨ l,,
ALT-word-67-1-1,ALT-word-67-1,8 - o l,67,false,expert,,ď/ð - o l,,
ALT-word-70-1-1,ALT-word-70-1,q u m - -,70,false,expert,,q u m - -,,
ALT-word-71-1-1,ALT-word-71-1,d e - -,71,false,expert,,d e - -,,
ALT-word-72-1-1,ALT-word-72-1,o - - t u r,72,false,expert,,o - - t u r,,
ALT-word-73-1-1,ALT-word-73-1,t e r e,73,false,expert,,t e r e,,
ALT-word-75-1-1,ALT-word-75-1,k i ~ - - - - Q - - -,75,false,expert,,k i č/tʃ - - - - y - - -,,
ALT-word-76-1-1,ALT-word-76-1,t u r,76,false,expert,,t u r,,
ALT-word-77-1-1,ALT-word-77-1,8 = l d = s,77,false,expert,,ď/ð ɨ l d ɨ s,,
ALT-word-78-1-1,ALT-word-78-1,t a H,78,false,expert,,t a ʃ,,
ALT-word-79-1-1,ALT-word-79-1,k Q n,79,false,expert,,k y n,,
ALT-word-80-1-1,ALT-word-80-1,- - - j - Q - - - s,80,false,expert,,- - - j - y - - - s,,
ALT-word-81-1-1,ALT-word-81-1,q u j - r u q,81,false,expert,,q u j - r u q,,
ALT-word-82-1-1,ALT-word-82-1,o -,82,false,expert,,o -,,
ALT-word-83-1-1,ALT-word-83-1,b u,83,false,expert,,b u,,
ALT-word-84-1-1,ALT-word-84-1,s e - n,84,false,expert,,s e - n,,
ALT-word-85-1-1,ALT-word-85-1,t i l - -,85,false,expert,,t i l - -,,
ALT-word-86-1-1,ALT-word-86-1,- - a * a H,86,false,expert,,- - a ɣ a ʃ,,
ALT-word-87-1-1,ALT-word-87-1,- e - k - i,87,false,expert,,- e - k - i,,
ALT-word-88-1-1,ALT-word-88-1,8 o r - -,88,false,expert,,ď/ð o r - -,,
ALT-word-89-1-1,ALT-word-89-1,8 = l - - - u - -,89,false,expert,,ď/ð ɨ l - - - u - -,,
ALT-word-90-1-1,ALT-word-90-1,s F -,90,false,expert,,s uː -,,
ALT-word-91-1-1,ALT-word-91-1,n e - - - - - - -,91,false,expert,,n e - - - - - - -,,
ALT-word-92-1-1,ALT-word-92-1,a q,92,false,expert,,a q,,
ALT-word-93-1-1,ALT-word-93-1,s ! - - - - - - l,93,false,expert,,s œː - - - - - - l,,
ALT-word-94-1-1,ALT-word-94-1,k e m,94,false,expert,,k e m,,
ALT-word-95-1-1,ALT-word-95-1,k P g Q s - - - -,95,false,expert,,k œ g y s - - - -,,
ALT-word-96-1-1,ALT-word-96-1,s a r = - - -,96,false,expert,,s a r ɨ - - -,,
ALT-word-97-1-1,ALT-word-97-1,s e m i s,97,false,expert,,s e m i s,,
ALT-word-100-1-1,ALT-word-100-1,t u - - s,100,false,expert,,t u - - s,,
ALT-word-101-1-1,ALT-word-101-1,q - = s - - q a -,101,false,expert,,q - ɨ s - - q a -,,
ALT-word-102-1-1,ALT-word-102-1,8 = l - -,102,false,expert,,ď/ð ɨ l - -,,
ALT-word-104-1-1,ALT-word-104-1,j e l - - -,104,false,expert,,j e l - - -,,
ALT-word-106-1-1,ALT-word-106-1,8 = l,106,false,expert,,ď/ð ɨ l,,
ALT-word-108-1-1,ALT-word-108-1,- = r a - q,108,false,expert,,- ɨ r a - q,,
ALT-word-109-1-1,ALT-word-109-1,t Q - d - Q n - - - -,109,false,expert,,t y - d - y n - - - -,,
ALT-word-111-1-1,ALT-word-111-1,k K - - - n - -,111,false,expert,,k yː - - - n - -,,
ALT-word-113-1-1,ALT-word-113-1,t a m = r,113,false,expert,,t a m ɨ r,,
