ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
ALT-word-2-1,,ALT,word-2,büt,b Q t,b y t,,,2,,,
ALT-word-3-1,,ALT,word-3,kül,k Q l,k y l,,,3,,,
ALT-word-4-1,,ALT,word-4,qabɨq,q a b = q,q a b ɨ q,,,4,,,
ALT-word-5-1,,ALT,word-5,qarɨn,q a r = n,q a r ɨ n,,,5,,,
ALT-word-6-1,,ALT,word-6,bijik,b i j i k,b i j i k,,,6,,,
ALT-word-7-1,,ALT,word-7,quš,q u H,q u ʃ,,,7,,,
ALT-word-9-1,,ALT,word-9,diš,d i H,d i ʃ,,,9,,,
ALT-word-10-1,,ALT,word-10,qara,q a r a,q a r a,,,10,,,
ALT-word-11-1,,ALT,word-11,qan,q a n,q a n,,,11,,,
ALT-word-12-1,,ALT,word-12,kēmik,k W m i k,k eː m i k,,,12,,,
ALT-word-15-1,,ALT,word-15,tɨr-ɢ-aq,t = r - G - a q,t ɨ r ɢ a q,,,15,,,
ALT-word-16-1,,ALT,word-16,bulut,b u l u t,b u l u t,,,16,,,
ALT-word-17-1,,ALT,word-17,sō--q,s T - - q,s oː q,,,17,,,
ALT-word-18-1,,ALT,word-18,kel,k e l,k e l,,,18,,,
ALT-word-19-1,,ALT,word-19,---öl,- - - P l,œ l,,,19,,,
ALT-word-20-1,,ALT,word-20,köb-ö--k,k P b - P - - k,k œ b œ k,,,20,,,
ALT-word-21-1,,ALT,word-21,ič,i ~,i č/tʃ,,,21,,,
ALT-word-22-1,,ALT,word-22,qur----u-,q u r - - - - u -,q u r u,,,22,,,
ALT-word-23-1,,ALT,word-23,qul-aq,q u l - a q,q u l a q,,,23,,,
ALT-word-24-1,,ALT,word-24,ďer,8 e r,ď/ð e r,,,24,,,
ALT-word-25-1,,ALT,word-25,tob-raq,t o b - r a q,t o b r a q,,,25,,,
ALT-word-26-1,,ALT,word-26,ďe---,8 e - - -,ď/ð e,,,26,,,
ALT-word-27-1,,ALT,word-27,ďɨmɨrt-qa,8 = m = r t - q a,ď/ð ɨ m ɨ r t q a,,,27,,,
